"filename","Phoneme","medianF1Hz","medianF2Hz","medianF3Hz","medianF4Hz","meanF1Hz","meanF2Hz","meanF3Hz","meanF4Hz","medianF1Bark","medianF2Bark","medianF3Bark","medianF4Bark","meanF1Bark","meanF2Bark","meanF3Bark","meanF4Bark","StartMs","EndMs","midDistanceMean","midDistanceMedian"
"0000_DemoDrehu","e",388.5,2397.5,3205.5,4206.3,388.5,2397.5,3205.5,4206.3,3.905,14.2209,16.1072,17.7583,3.905,14.2209,16.1072,17.7583,32083.7982,32243.7982,36.2762,20.5548
"0000_DemoDrehu","e",708.5,2185.5,3149.5,4429.3,708.5,2185.5,3149.5,4429.3,6.5882,13.6042,15.9957,18.0557,6.5882,13.6042,15.9957,18.0557,32363.7982,32503.7982,356.6194,400.2431
"0000_DemoDrehu","e",381.25,2376,3204,4229.5,381.25,2376,3204,4229.5,3.8358,14.1611,16.1042,17.7902,3.8358,14.1611,16.1042,17.7902,32953.7982,33103.7982,50.1686,41.0069
"0000_DemoDrehu","e",617.6,2318.6,3115.4,4360.35,617.6,2318.6,3115.4,4360.35,5.8937,13.9985,15.9266,17.966,5.8937,13.9985,15.9266,17.966,33223.7982,33373.7982,209.9889,255.3232
"0000_DemoDrehu","e",372.5,2379.5,3097.5,4144,372.5,2379.5,3097.5,4144,3.7516,14.1709,15.89,17.6713,3.7516,14.1709,15.89,17.6713,33803.7982,33883.7982,56.4527,38.6846
"0000_DemoDrehu","e",629.5,2124.5,3017,4302.5,629.5,2124.5,3017,4302.5,5.9874,13.4149,15.7219,17.8892,5.9874,13.4149,15.7219,17.8892,34003.7982,34093.7982,344.3924,383.1612
"0000_DemoDrehu","a",844.5,1597,3029,4061.5,844.5,1597,3029,4061.5,7.5431,11.507,15.7473,17.5533,7.5431,11.507,15.7473,17.5533,35698.8095,35758.8095,24.9855,36.0174
"0000_DemoDrehu","a",952.5,1397,2885.5,4325,952.5,1397,2885.5,4325,8.2379,10.6269,15.4354,17.9192,8.2379,10.6269,15.4354,17.9192,35908.8095,35938.8095,251.1509,239.0005
"0000_DemoDrehu","e",400.5,2346.5,2991,4034,400.5,2346.5,2991,4034,4.0188,14.0781,15.6665,17.5133,4.0188,14.0781,15.6665,17.5133,36388.8095,36428.8095,59.8475,72.8869
"0000_DemoDrehu","a",1034,1412,2819,3748,1034,1412,2819,3748,8.729,10.6965,15.2845,17.074,8.729,10.6965,15.2845,17.074,36618.8095,36658.8095,289.8132,285.574
"0000_DemoDrehu","e",376,2545,3077.5,4205,376,2545,3077.5,4205,3.7853,14.6157,15.8487,17.7565,3.7853,14.6157,15.8487,17.7565,37088.8095,37148.8095,151.6978,128.1405
"0000_DemoDrehu","a",844.5,1434,2769.5,3814.5,844.5,1434,2769.5,3814.5,7.5431,10.7975,15.1694,17.1801,7.5431,10.7975,15.1694,17.1801,37288.8095,37318.8095,181.0813,158.4148
"0000_DemoDrehu","a",736.5,1551.5,2924.5,4193.5,736.5,1551.5,2924.5,4193.5,6.7927,11.3156,15.522,17.7405,6.7927,11.3156,15.522,17.7405,37998.8095,38028.8095,109.545,81.8413
"0000_DemoDrehu","a",778.5,1521.5,2871.5,4080.5,778.5,1521.5,2871.5,4080.5,7.0915,11.1866,15.404,17.5808,7.0915,11.1866,15.404,17.5808,39544.9773,39584.9773,104.293,73.8241
"0000_DemoDrehu","e",377.5,2462,3081.5,4142.5,377.5,2462,3081.5,4142.5,3.7997,14.3968,15.857,17.6692,3.7997,14.3968,15.857,17.6692,39804.9773,39934.9773,76.8242,45.2244
"0000_DemoDrehu","e",633.5,2190,3173,4203.5,633.5,2190,3173,4203.5,6.0187,13.6179,16.0428,17.7544,6.0187,13.6179,16.0428,17.7544,40074.9773,40254.9773,297.14,338.7938
"0000_DemoDrehu","e",346.5,2454,3110,4190.5,346.5,2454,3110,4190.5,3.4976,14.3752,15.9156,17.7364,3.4976,14.3752,15.9156,17.7364,40434.9773,40474.9773,94.2041,51.2762
"0000_DemoDrehu","e",387.5,2495,3184,4186.5,387.5,2495,3184,4186.5,3.8955,14.4848,16.0647,17.7308,3.8955,14.4848,16.0647,17.7308,40654.9773,40784.9773,100.7782,78.1937
"0000_DemoDrehu","e",601.5,2342.5,3205,4200.5,601.5,2342.5,3205,4200.5,5.7656,14.0667,16.1062,17.7502,5.7656,14.0667,16.1062,17.7502,40904.9773,41034.9773,186.4345,231.7984
"0000_DemoDrehu","e",362,2595.5,3272,4096,362,2595.5,3272,4096,3.6497,14.745,16.2365,17.6031,3.6497,14.745,16.2365,17.6031,41144.9773,41214.9773,204.0425,179.617
"0000_DemoDrehu","e",392.9,2547.5,3255.5,4190.65,392.9,2547.5,3255.5,4190.65,3.9469,14.6222,16.2047,17.7366,3.9469,14.6222,16.2047,17.7366,41414.9773,41524.9773,149.6019,130.9544
"0000_DemoDrehu","e",623.9,2154,3091,4320.5,623.9,2154,3091,4320.5,5.9435,13.5071,15.8766,17.9132,5.9435,13.5071,15.8766,17.9132,41654.9773,41744.9773,317.6192,357.3298
"0000_DemoDrehu","a",759.5,1661,3061.5,4175,759.5,1661,3061.5,4175,6.9575,11.7681,15.8155,17.7148,6.9575,11.7681,15.8155,17.7148,43516.7234,43546.7234,81.6198,88.0696
"0000_DemoDrehu","o",461.5,804.5,3185,3655,461.5,804.5,3185,3655,4.5796,7.272,16.0667,16.9216,4.5796,7.272,16.0667,16.9216,44016.7234,44056.7234,61.5669,50.7943
"0000_DemoDrehu","e",364.5,2530.5,2868,3957.5,364.5,2530.5,2868,3957.5,3.674,14.5781,15.3961,17.4,3.674,14.5781,15.3961,17.4,44846.7234,44896.7234,142.4936,114.8412
"0000_DemoDrehu","a",907.5,1692.75,3479.75,4500.25,907.5,1692.75,3479.75,4500.25,7.9548,11.8942,16.6201,18.146,7.9548,11.8942,16.6201,18.146,45686.7234,45736.7234,112.9627,143.0806
"0000_DemoDrehu","a",810.55,1511.75,2990.5,4033.8,810.55,1511.75,2990.5,4033.8,7.3135,11.1442,15.6654,17.513,7.3135,11.1442,15.6654,17.513,47119.6485,47219.6485,103.6305,76.7572
"0000_DemoDrehu","e",352,2108,2930.5,4029.5,352,2108,2930.5,4029.5,3.5518,13.3627,15.5352,17.5067,3.5518,13.3627,15.5352,17.5067,47759.6485,47819.6485,302.137,310.4529
"0000_DemoDrehu","e",346.5,2473.5,3028,3948.5,346.5,2473.5,3028,3948.5,3.4976,14.4276,15.7452,17.3864,3.4976,14.4276,15.7452,17.3864,48269.6485,48339.6485,106.3501,66.7271
"0000_DemoDrehu","a",926,2271,3427.25,4244.25,926,2271,3427.25,4244.25,8.0722,13.8603,16.5259,17.8104,8.0722,13.8603,16.5259,17.8104,49129.6485,49169.6485,664.3472,692.3716
"0000_DemoDrehu","e",379.5,2336,3116.5,3968.5,379.5,2336,3116.5,3968.5,3.819,14.0482,15.9289,17.4164,3.819,14.0482,15.9289,17.4164,50212.1202,50252.1202,79.34,81.0386
"0000_DemoDrehu","a",780,1623.5,3103.6,3995.5,780,1623.5,3103.6,3995.5,7.102,11.6162,15.9025,17.4566,7.102,11.6162,15.9025,17.4566,50742.1202,50802.1202,47.278,45.7739
"0000_DemoDrehu","e",321.5,2309,2980,3978.25,321.5,2309,2980,3978.25,3.248,13.9709,15.6428,17.431,3.248,13.9709,15.6428,17.431,51922.1202,51982.1202,138.3565,123.7912
"0000_DemoDrehu","o",478.25,733,2517.5,3871.5,478.25,733,2517.5,3871.5,4.7286,6.7673,14.5441,17.269,4.7286,6.7673,14.5441,17.269,54397.8345,54527.8345,120.3875,111.9163
"0000_DemoDrehu","o",328,724,3110.5,3736,328,724,3110.5,3736,3.3134,6.7019,15.9166,17.0546,3.3134,6.7019,15.9166,17.0546,55027.8345,55077.8345,129.5124,133.8462
"0000_DemoDrehu","o",414,824,3159.5,3914,414,824,3159.5,3914,4.1454,7.4051,16.0158,17.3342,4.1454,7.4051,16.0158,17.3342,55267.8345,55377.8345,10.2298,1.9526
"0000_DemoDrehu","o",268,760.5,3080,3910,268,760.5,3080,3910,2.6949,6.9646,15.8539,17.3281,2.6949,6.9646,15.8539,17.3281,55817.8345,55857.8345,152.6347,160.9583
"0000_DemoDrehu","o",423.1,866.5,2991,3904.5,423.1,866.5,2991,3904.5,4.2299,7.689,15.6665,17.3197,4.2299,7.689,15.6665,17.3197,56027.8345,56177.8345,42.356,41.7447
"0000_DemoDrehu","a",714,1632.4,3199.2,4254.2,714,1632.4,3199.2,4254.2,6.6287,11.6526,16.0948,17.8239,6.6287,11.6526,16.0948,17.8239,58189.3084,58319.3084,113.8176,105.1069
"0000_DemoDrehu","e",371.5,2527,3385.2,4197,371.5,2527,3385.2,4197,3.7419,14.5689,16.4492,17.7454,3.7419,14.5689,16.4492,17.7454,58569.3084,58729.3084,136.4556,110.5
"0000_DemoDrehu","e",429.5,2336.5,3018.9,4127.5,429.5,2336.5,3018.9,4127.5,4.289,14.0497,15.7259,17.648,4.289,14.0497,15.7259,17.648,59419.3084,59619.3084,64.9771,93.4692
"0000_DemoDrehu","e",382,2220,3009.5,4057.5,382,2220,3009.5,4057.5,3.8429,13.7088,15.706,17.5475,3.8429,13.7088,15.706,17.5475,60079.3084,60309.3084,186.2232,197
